,epoch,train/eval,batch_size,loss,acc
0,0,train,32,21.531761169433594,
0,0,train,32,21.950420379638672,
0,0,train,32,21.43472671508789,
0,0,train,32,21.880081176757812,
0,0,train,32,21.638141632080078,
0,0,train,32,21.77706527709961,
0,0,train,32,21.429372787475586,
0,0,train,32,21.434207916259766,
0,0,train,32,21.746152877807617,
0,0,train,32,21.632068634033203,
0,0,train,32,21.677291870117188,
0,0,train,32,21.323551177978516,
0,0,train,32,21.47569465637207,
0,0,train,32,21.531017303466797,
0,0,train,32,21.722930908203125,
0,0,train,32,21.47732162475586,
0,0,train,32,21.594417572021484,
0,0,train,32,21.44234848022461,
0,0,train,32,21.68004608154297,
0,0,train,32,21.676528930664062,
0,0,train,32,21.71713638305664,
0,0,train,32,21.518016815185547,
0,0,train,32,21.34722137451172,
0,0,train,32,21.67092514038086,
0,0,train,32,21.655780792236328,
0,0,train,32,21.605941772460938,
0,0,train,32,21.846912384033203,
0,0,train,32,21.949481964111328,
0,0,train,32,21.710636138916016,
0,0,train,32,21.499347686767578,
0,0,train,32,21.62295913696289,
0,0,train,32,21.805286407470703,
0,0,train,32,21.877338409423828,
0,0,train,32,21.388622283935547,
0,0,train,32,21.523799896240234,
0,0,train,32,21.537662506103516,
0,0,train,32,21.404376983642578,
0,0,train,32,21.637378692626953,
0,0,train,32,21.598129272460938,
0,0,train,32,21.660249710083008,
0,0,train,32,21.41815948486328,
0,0,train,32,21.274404525756836,
0,0,train,32,21.293107986450195,
0,0,train,32,21.55719757080078,
0,0,train,32,21.827213287353516,
0,0,train,32,21.553359985351562,
0,0,train,32,22.04216766357422,
0,0,train,32,21.532407760620117,
0,0,train,32,21.393808364868164,
0,0,train,32,21.820213317871094,
0,0,train,32,21.485271453857422,
0,0,train,32,21.575485229492188,
0,0,train,32,21.660747528076172,
0,0,train,32,21.579418182373047,
0,0,train,32,21.552820205688477,
0,0,train,32,21.813507080078125,
0,0,train,32,21.56772804260254,
0,0,train,32,21.39672088623047,
0,0,train,32,21.55260467529297,
0,0,train,32,21.49553680419922,
0,0,train,32,21.52871322631836,
0,0,train,32,21.854015350341797,
0,0,train,32,21.62394142150879,
0,0,train,32,21.59860610961914,
0,0,train,32,21.525222778320312,
0,0,train,32,21.437488555908203,
0,0,train,32,21.32773208618164,
0,0,train,32,21.528671264648438,
0,0,train,32,21.230384826660156,
0,0,train,32,21.644216537475586,
0,0,train,32,21.398603439331055,
0,0,train,32,21.537593841552734,
0,0,train,32,21.874658584594727,
0,0,train,32,21.53700065612793,
0,0,train,32,21.39180564880371,
